What Happened,Median Number Mentioned,n_total_values,n_dates,Date-Wise Numbers Mentioned
affected ,9000000.0,7,7,"{datetime.date(2023, 2, 13): 7200000.0, datetime.date(2023, 2, 15): 23000000.0, datetime.date(2023, 2, 16): 88000000.0, datetime.date(2023, 2, 20): 8800000.0, datetime.date(2023, 2, 21): 9000000.0, datetime.date(2023, 3, 13): 6000000.0, datetime.date(2023, 4, 17): 9100000.0}"
dead ,35148.0,285,69,"{datetime.date(2023, 2, 6): 1550.0, datetime.date(2023, 2, 7): 3390.5, datetime.date(2023, 2, 8): 4272.0, datetime.date(2023, 2, 9): 9057.0, datetime.date(2023, 2, 10): 17067.0, datetime.date(2023, 2, 11): 20406.0, datetime.date(2023, 2, 12): 23263.5, datetime.date(2023, 2, 13): 5800.0, datetime.date(2023, 2, 14): 33000.0, datetime.date(2023, 2, 15): 8250.0, datetime.date(2023, 2, 16): 35148.0, datetime.date(2023, 2, 17): 37000.0, datetime.date(2023, 2, 18): 20616.0, datetime.date(2023, 2, 19): 40642.0, datetime.date(2023, 2, 20): 5800.0, datetime.date(2023, 2, 21): 41156.0, datetime.date(2023, 2, 22): 40500.0, datetime.date(2023, 2, 23): 46000.0, datetime.date(2023, 2, 24): 44800.0, datetime.date(2023, 2, 25): 46155.0, datetime.date(2023, 2, 27): 1400.0, datetime.date(2023, 2, 28): 42310.0, datetime.date(2023, 3, 1): 25000.0, datetime.date(2023, 3, 2): 23244.5, datetime.date(2023, 3, 3): 5900.0, datetime.date(2023, 3, 4): 45089.0, datetime.date(2023, 3, 6): 45044.5, datetime.date(2023, 3, 7): 44200.0, datetime.date(2023, 3, 9): 3662.0, datetime.date(2023, 3, 10): 25183.5, datetime.date(2023, 3, 11): 5200.0, datetime.date(2023, 3, 12): 56000.0, datetime.date(2023, 3, 13): 15207.0, datetime.date(2023, 3, 15): 9018.5, datetime.date(2023, 3, 16): 10000.0, datetime.date(2023, 3, 17): 48448.0, datetime.date(2023, 3, 19): 50000.0, datetime.date(2023, 3, 20): 48000.0, datetime.date(2023, 3, 21): 53000.0, datetime.date(2023, 3, 22): 48000.0, datetime.date(2023, 3, 23): 27998.0, datetime.date(2023, 3, 24): 53048.0, datetime.date(2023, 3, 27): 48224.0, datetime.date(2023, 3, 28): 50000.0, datetime.date(2023, 3, 30): 33500.0, datetime.date(2023, 3, 31): 6800.0, datetime.date(2023, 4, 1): 50096.0, datetime.date(2023, 4, 2): 55190.0, datetime.date(2023, 4, 4): 5791.0, datetime.date(2023, 4, 5): 50000.0, datetime.date(2023, 4, 6): 50000.0, datetime.date(2023, 4, 7): 50399.0, datetime.date(2023, 4, 11): 50339.0, datetime.date(2023, 4, 13): 50300.0, datetime.date(2023, 4, 14): 8476.0, datetime.date(2023, 4, 17): 50339.0, datetime.date(2023, 4, 22): 50096.0, datetime.date(2023, 4, 24): 50783.0, datetime.date(2023, 4, 25): 50000.0, datetime.date(2023, 4, 28): 28850.5, datetime.date(2023, 5, 3): 38595.0, datetime.date(2023, 5, 6): 50000.0, datetime.date(2023, 5, 8): 55000.0, datetime.date(2023, 5, 15): 50700.0, datetime.date(2023, 5, 17): 6000.0, datetime.date(2023, 5, 18): 50000.0, datetime.date(2023, 5, 19): 257567.0, datetime.date(2023, 6, 1): 50500.0, datetime.date(2023, 6, 2): 29042.5}"
dead children,2048.0,6,2,"{datetime.date(2023, 2, 6): 2300.0, datetime.date(2023, 3, 15): 2048.0}"
displaced ,3000000.0,14,13,"{datetime.date(2023, 2, 18): 4000.0, datetime.date(2023, 3, 9): 2355.0, datetime.date(2023, 3, 13): 300000.0, datetime.date(2023, 3, 15): 13000000.0, datetime.date(2023, 3, 16): 2355.0, datetime.date(2023, 3, 22): 27000000.0, datetime.date(2023, 3, 23): 350000.0, datetime.date(2023, 3, 24): 13750000.0, datetime.date(2023, 3, 27): 3300000.0, datetime.date(2023, 3, 28): 13000000.0, datetime.date(2023, 4, 14): 2355.0, datetime.date(2023, 5, 6): 3000000.0, datetime.date(2023, 5, 15): 33000000.0}"
injured ,80044.0,148,55,"{datetime.date(2023, 2, 6): 7634.0, datetime.date(2023, 2, 7): 13000.0, datetime.date(2023, 2, 8): 11000.0, datetime.date(2023, 2, 9): 10259.5, datetime.date(2023, 2, 10): 37799.5, datetime.date(2023, 2, 11): 79717.0, datetime.date(2023, 2, 12): 80278.0, datetime.date(2023, 2, 13): 9250.0, datetime.date(2023, 2, 14): 100000.0, datetime.date(2023, 2, 15): 10000.0, datetime.date(2023, 2, 16): 105500.0, datetime.date(2023, 2, 17): 58191.0, datetime.date(2023, 2, 18): 32670.0, datetime.date(2023, 2, 19): 55178.5, datetime.date(2023, 2, 20): 104000.0, datetime.date(2023, 2, 21): 105505.0, datetime.date(2023, 2, 22): 108068.0, datetime.date(2023, 2, 23): 11000.0, datetime.date(2023, 2, 24): 105000.0, datetime.date(2023, 2, 25): 114184.0, datetime.date(2023, 2, 27): 53925.0, datetime.date(2023, 3, 1): 12000.0, datetime.date(2023, 3, 2): 2350.0, datetime.date(2023, 3, 3): 12000.0, datetime.date(2023, 3, 4): 120000.0, datetime.date(2023, 3, 6): 2350.0, datetime.date(2023, 3, 7): 108300.0, datetime.date(2023, 3, 9): 6175.0, datetime.date(2023, 3, 11): 12000.0, datetime.date(2023, 3, 12): 130000.0, datetime.date(2023, 3, 13): 2357.0, datetime.date(2023, 3, 15): 11080.0, datetime.date(2023, 3, 16): 132000.0, datetime.date(2023, 3, 22): 107500.0, datetime.date(2023, 3, 23): 59202.0, datetime.date(2023, 3, 27): 130000.0, datetime.date(2023, 3, 28): 107000.0, datetime.date(2023, 3, 30): 2350.0, datetime.date(2023, 3, 31): 10041.0, datetime.date(2023, 4, 1): 107204.0, datetime.date(2023, 4, 2): 129490.0, datetime.date(2023, 4, 4): 10041.0, datetime.date(2023, 4, 7): 107204.0, datetime.date(2023, 4, 11): 107204.0, datetime.date(2023, 4, 14): 107204.0, datetime.date(2023, 4, 17): 107000.0, datetime.date(2023, 4, 22): 107204.0, datetime.date(2023, 4, 28): 107204.0, datetime.date(2023, 5, 3): 129490.0, datetime.date(2023, 5, 6): 100000.0, datetime.date(2023, 5, 8): 100000.0, datetime.date(2023, 5, 17): 12000.0, datetime.date(2023, 5, 18): 100000.0, datetime.date(2023, 6, 3): 107204.0, datetime.date(2023, 6, 7): 108000.0}"
