Type of loss,Metric,Median Number Mentioned,n_total_values,n_dates,Date-Wise Numbers Mentioned
crops loss,acres,4000000.0,14,13,"{datetime.date(2022, 8, 6): 200000.0, datetime.date(2022, 8, 23): 1000000.0, datetime.date(2022, 8, 29): 3000000.0, datetime.date(2022, 8, 30): 2000000.0, datetime.date(2022, 9, 2): 2000000.0, datetime.date(2022, 9, 4): 35000000.0, datetime.date(2022, 9, 7): 36000000.0, datetime.date(2022, 9, 9): 36000000.0, datetime.date(2022, 9, 15): 138000000.0, datetime.date(2022, 11, 5): 44000000.0, datetime.date(2022, 12, 21): 44000000.0, datetime.date(2023, 1, 18): 3000000.0, datetime.date(2023, 4, 18): 2000000.0}"
crops loss,hectares,8540000.0,3,3,"{datetime.date(2022, 10, 4): 16822.0, datetime.date(2022, 10, 18): 80000.0, datetime.date(2023, 3, 2): 17000000.0}"
livestock loss,,730500.0,2,2,"{datetime.date(2022, 9, 2): 735000.0, datetime.date(2022, 9, 6): 730500.0}"
livestock loss,count,800000.0,22,16,"{datetime.date(2022, 8, 13): 107000.0, datetime.date(2022, 8, 17): 105220.0, datetime.date(2022, 8, 25): 701050.0, datetime.date(2022, 8, 27): 710000.0, datetime.date(2022, 8, 29): 800000.0, datetime.date(2022, 8, 30): 759779.0, datetime.date(2022, 9, 4): 800000.0, datetime.date(2022, 9, 5): 700000.0, datetime.date(2022, 9, 7): 750000.0, datetime.date(2022, 9, 9): 775000.0, datetime.date(2022, 9, 15): 900000.0, datetime.date(2022, 10, 18): 800000.0, datetime.date(2022, 12, 6): 1000000.0, datetime.date(2022, 12, 21): 800000.0, datetime.date(2023, 1, 10): 800000.0, datetime.date(2023, 1, 18): 12000000.0}"
production loss,tons,55500000.0,4,3,"{datetime.date(2022, 10, 4): 113000000.0, datetime.date(2022, 12, 20): 105000000.0, datetime.date(2022, 12, 25): 6000000.0}"
production loss,usd,129000000000.0,2,2,"{datetime.date(2023, 1, 10): 9000000000.0, datetime.date(2023, 3, 2): 129000000000.0}"
