What Happened,Median Number Mentioned,n_total_values,n_dates,Date-Wise Numbers Mentioned
affected ,33000000.0,11,11,"{datetime.date(2022, 8, 23): 1000000.0, datetime.date(2022, 9, 1): 33000000.0, datetime.date(2022, 9, 7): 33000000.0, datetime.date(2022, 9, 13): 33000000.0, datetime.date(2022, 9, 15): 33000000.0, datetime.date(2022, 9, 20): 33000000.0, datetime.date(2022, 9, 28): 33000000.0, datetime.date(2022, 9, 29): 33000000.0, datetime.date(2022, 10, 18): 33000000.0, datetime.date(2022, 11, 15): 33000000.0, datetime.date(2023, 1, 9): 33000000.0}"
dead ,1355.0,88,45,"{datetime.date(2022, 8, 22): 1571.0, datetime.date(2022, 8, 26): 1000.0, datetime.date(2022, 8, 27): 1033.0, datetime.date(2022, 8, 29): 1000.0, datetime.date(2022, 8, 30): 1016.5, datetime.date(2022, 8, 31): 1000.0, datetime.date(2022, 9, 1): 1100.0, datetime.date(2022, 9, 2): 1191.0, datetime.date(2022, 9, 3): 1200.0, datetime.date(2022, 9, 5): 1180.0, datetime.date(2022, 9, 8): 1349.0, datetime.date(2022, 9, 10): 1300.0, datetime.date(2022, 9, 13): 1360.5, datetime.date(2022, 9, 14): 1480.0, datetime.date(2022, 9, 15): 1400.0, datetime.date(2022, 9, 16): 1400.0, datetime.date(2022, 9, 18): 1500.0, datetime.date(2022, 9, 20): 1400.0, datetime.date(2022, 9, 21): 1061.0, datetime.date(2022, 9, 23): 1371.5, datetime.date(2022, 9, 24): 1569.0, datetime.date(2022, 9, 26): 1638.0, datetime.date(2022, 9, 27): 1638.0, datetime.date(2022, 9, 28): 1500.0, datetime.date(2022, 9, 29): 1481.0, datetime.date(2022, 10, 1): 1700.0, datetime.date(2022, 10, 3): 1697.5, datetime.date(2022, 10, 4): 1545.0, datetime.date(2022, 10, 5): 1696.0, datetime.date(2022, 10, 7): 1700.0, datetime.date(2022, 10, 13): 1717.0, datetime.date(2022, 10, 14): 1600.0, datetime.date(2022, 10, 15): 1718.0, datetime.date(2022, 10, 18): 1500.0, datetime.date(2022, 10, 20): 1050.0, datetime.date(2022, 11, 8): 1700.0, datetime.date(2022, 11, 11): 1700.0, datetime.date(2022, 11, 15): 1600.0, datetime.date(2022, 11, 22): 1736.0, datetime.date(2022, 11, 28): 1600.0, datetime.date(2022, 12, 6): 1700.0, datetime.date(2022, 12, 14): 1500.0, datetime.date(2022, 12, 16): 1700.0, datetime.date(2023, 1, 9): 1700.0, datetime.date(2023, 3, 13): 1739.0}"
displaced ,8000000.0,6,6,"{datetime.date(2022, 8, 23): 23000.0, datetime.date(2022, 8, 30): 161000.0, datetime.date(2022, 10, 14): 7900000.0, datetime.date(2022, 11, 11): 8000000.0, datetime.date(2022, 12, 6): 8000000.0, datetime.date(2023, 1, 9): 8000000.0}"
injured ,12720.0,65,36,"{datetime.date(2022, 8, 22): 1016.0, datetime.date(2022, 8, 26): 1343.0, datetime.date(2022, 8, 27): 1527.0, datetime.date(2022, 8, 29): 1459.0, datetime.date(2022, 8, 30): 1527.0, datetime.date(2022, 8, 31): 1587.5, datetime.date(2022, 9, 1): 1600.0, datetime.date(2022, 9, 2): 3085.0, datetime.date(2022, 9, 3): 4900.0, datetime.date(2022, 9, 5): 8700.0, datetime.date(2022, 9, 8): 12720.0, datetime.date(2022, 9, 10): 12700.0, datetime.date(2022, 9, 13): 12715.5, datetime.date(2022, 9, 14): 12800.0, datetime.date(2022, 9, 15): 12700.0, datetime.date(2022, 9, 16): 12700.0, datetime.date(2022, 9, 18): 12800.0, datetime.date(2022, 9, 20): 12880.0, datetime.date(2022, 9, 21): 1575.0, datetime.date(2022, 9, 23): 12720.0, datetime.date(2022, 9, 24): 12855.0, datetime.date(2022, 9, 26): 12865.0, datetime.date(2022, 9, 27): 12865.0, datetime.date(2022, 9, 29): 12720.0, datetime.date(2022, 10, 1): 12800.0, datetime.date(2022, 10, 3): 12832.5, datetime.date(2022, 10, 4): 8403.0, datetime.date(2022, 10, 5): 12865.0, datetime.date(2022, 10, 7): 12800.0, datetime.date(2022, 10, 13): 12867.0, datetime.date(2022, 10, 14): 12900.0, datetime.date(2022, 10, 15): 12800.0, datetime.date(2022, 11, 15): 12800.0, datetime.date(2022, 11, 28): 12865.0, datetime.date(2022, 12, 16): 12867.0, datetime.date(2023, 3, 13): 12867.0}"
injured children,4000.0,6,6,"{datetime.date(2022, 9, 8): 3983.0, datetime.date(2022, 9, 18): 4000.0, datetime.date(2022, 9, 24): 4000.0, datetime.date(2022, 10, 5): 4000.0, datetime.date(2022, 10, 7): 4000.0, datetime.date(2023, 3, 13): 4006.0}"
