What Happened,Type of Building,Median Number Mentioned,n_total_values,n_dates,Date-Wise Numbers Mentioned
damaged,elementary schools,1941.0,2,2,"{datetime.date(2023, 2, 28): 1941.0, datetime.date(2023, 3, 3): 1941.0}"
destroyed,hospitals,,2,1,"{datetime.date(2023, 2, 6): 2800.0}"
damaged,household,2600000.0,8,8,"{datetime.date(2023, 2, 16): 293000.0, datetime.date(2023, 2, 27): 125000000.0, datetime.date(2023, 2, 28): 2200000.0, datetime.date(2023, 3, 5): 27000000.0, datetime.date(2023, 3, 13): 3000000.0, datetime.date(2023, 3, 27): 300000.0, datetime.date(2023, 4, 11): 2600000.0, datetime.date(2023, 4, 12): 1646.0}"
destroyed,household,164300.0,19,15,"{datetime.date(2023, 2, 7): 5775.0, datetime.date(2023, 2, 8): 1700.0, datetime.date(2023, 2, 13): 12000.0, datetime.date(2023, 2, 16): 170000.0, datetime.date(2023, 2, 21): 384500.0, datetime.date(2023, 2, 23): 156000.0, datetime.date(2023, 2, 27): 125000000.0, datetime.date(2023, 3, 7): 164300.0, datetime.date(2023, 3, 12): 230000.0, datetime.date(2023, 3, 13): 164300.0, datetime.date(2023, 3, 24): 298000.0, datetime.date(2023, 3, 27): 300000.0, datetime.date(2023, 3, 31): 11000.0, datetime.date(2023, 4, 7): 10600.0, datetime.date(2023, 4, 12): 2233.0}"
damaged,household/residence,2700000.0,4,4,"{datetime.date(2023, 2, 18): 2196088.0, datetime.date(2023, 2, 21): 15000000.0, datetime.date(2023, 3, 6): 2700000.0, datetime.date(2023, 3, 9): 2700000.0}"
destroyed,household/residence,6500.0,4,4,"{datetime.date(2023, 2, 7): 4758.0, datetime.date(2023, 2, 10): 1700.0, datetime.date(2023, 2, 12): 6500.0, datetime.date(2023, 2, 21): 500000.0}"
destroyed,residence,289500.0,3,3,"{datetime.date(2023, 2, 9): 8000.0, datetime.date(2023, 2, 23): 500000.0, datetime.date(2023, 4, 11): 79000.0}"
